player_id,first_name,last_name,goals,games_played,rating
1,Devlen,McGennis,73,374,7.62
2,Lonny,Webburn,207,249,3.95
3,Mervin,Christofle,65,403,3.14
4,Addy,McGiveen,245,364,3.49
5,Charisse,Griffitt,252,271,3.82
6,Tallie,Daouze,51,32,6.09
7,Glenine,Jacobovitch,162,47,6.25
8,Terencio,Waleworke,132,493,4.58
9,Land,Frandsen,62,276,9.69
10,Jacinda,Pearcey,56,11,5.29
11,Frayda,Van der Beek,47,365,5.54
12,Joy,Lewsley,275,382,8.35
13,Orelle,Rudsdale,292,139,5.57
14,Anabal,MacAnelley,277,262,5.92
15,Kasey,Ivashkov,17,473,3.31
16,Skyler,Creeboe,147,347,9.6
17,Sauveur,Heugle,76,421,9.69
18,Lianna,Castletine,160,130,4.64
19,Robinette,Narbett,189,384,7.94
20,Ernie,Glazyer,77,223,8.88
21,Callean,Roj,119,346,8.87
22,Chiarra,McAnellye,86,433,3.87
23,Rasia,Oldman,271,121,6.61
24,Glennis,O' Molan,294,329,7.2
25,Addie,Meineken,103,74,8.28
26,Graig,Rait,27,146,7.57
27,Gale,Ianni,164,197,8.88
28,Joya,Jeffree,266,70,7.94
29,Brendin,D'Alessio,54,131,8.54
30,Ciel,Hofer,136,392,6.43
31,Lela,Iacovaccio,141,499,5.53
32,Katya,Newgrosh,262,13,5.94
33,Corrianne,Ralston,22,496,5.03
34,Charline,Twell,213,431,8.37
35,Neil,Chastan,20,171,6.36
36,Avery,Scollard,32,328,6.78
37,Riki,Franses,88,9,3.53
38,Isidro,Bosomworth,82,342,4.15
39,Carolus,Bootland,287,307,8.82
40,Ingra,Malkinson,75,282,7.25
41,Naoma,Bagley,264,396,6.92
42,Martie,Chapiro,37,437,7.99
43,Geno,Bagnal,132,452,9.26
44,Allistir,Trounce,233,39,6.35
45,Hayden,Bulter,170,177,9.19
46,Adriana,Daouze,291,317,9.31
47,Mikel,McKaile,183,223,4.43
48,Karel,Tamburi,144,420,6.1
49,Fancie,Beininck,296,361,5.46
50,Madelaine,Fundell,128,398,7.44
51,Ellene,Hurle,199,178,5.27
52,Breena,Lazenbury,18,145,9.42
53,Lurline,Andreaccio,22,56,4.46
54,Hunter,Desantis,277,178,8.62
55,Dorolice,MacDiarmond,124,125,9.36
56,Bernetta,Romer,97,151,8.45
57,Dallas,Ferrarotti,39,321,7.87
58,Tally,Potzold,76,251,4.48
59,Amabelle,Greatrex,275,383,9.67
60,Xenos,Noto,136,390,6.23
61,Morey,Glayzer,212,83,3.65
62,Garnette,Waywell,254,60,9.6
63,Rowena,Ickovic,288,362,9.47
64,Carney,Pinckney,68,22,6.88
65,Pia,Viccary,105,494,4.34
66,Moise,Hendrix,132,226,8.46
67,Latia,Forsythe,167,378,9.66
68,Joel,Brecknall,56,382,6.34
69,Elisabeth,Douch,144,363,7.69
70,Morley,Hawkswood,58,448,8.52
71,Joy,Mewhirter,283,125,5.09
72,Stephie,Burles,111,329,5.0
73,Alwin,Kenson,41,299,7.9
74,Fayina,Frake,247,218,9.2
75,Yuri,Hynson,34,42,3.33
76,Paulie,Wudeland,41,97,7.13
77,Audrie,Kaubisch,155,483,8.2
78,Nara,Clementi,79,163,3.36
79,Allard,Bourrel,90,223,3.12
80,Andrew,Chaston,72,320,3.53
81,Honoria,Layton,15,309,5.7
82,Otes,MacTrustam,104,96,4.65
83,Abbot,Stopher,269,275,9.29
84,Gregoire,Currum,278,318,9.03
85,Bernete,Drewes,28,189,6.0
86,Halimeda,Mattityahou,173,479,9.32
87,Avie,Magnay,75,279,6.01
88,Manuel,Ives,19,439,3.4
89,Thia,Ibanez,286,152,7.45
90,Ted,Demonge,164,375,9.74
91,Luci,Maryman,160,337,6.52
92,Con,Bortolini,112,172,6.37
93,Selena,Micallef,21,246,5.2
94,Swen,Tight,32,499,8.49
95,Annetta,Buckwell,161,333,4.32
96,Chrisse,Jeannet,103,143,6.23
97,Andris,Mathevet,194,460,3.83
98,Roth,Paiton,68,10,9.68
99,Federica,Espadater,297,365,6.43
100,Murdoch,Johnys,150,6,4.19
